state,district,total_mbu,mbu_share_percent
Maharashtra,Pune,401271,0.8259057504483636
Maharashtra,Nashik,370277,0.7621131443806524
Maharashtra,Thane,355678,0.7320651268294321
Gujarat,Ahmedabad,312460,0.6431127860849543
Maharashtra,Jalgaon,278886,0.5740099611473103
Maharashtra,Mumbai,255617,0.5261171383238743
Delhi,North West Delhi,255510,0.5258969083164778
Rajasthan,Jaipur,253468,0.5216940141566319
Andhra Pradesh,Kurnool,249235,0.5129815504060794
Maharashtra,Nagpur,236162,0.4860743832407187
Maharashtra,Solapur,228939,0.47120782862927524
Andhra Pradesh,Visakhapatnam,226913,0.46703786605932035
Maharashtra,Nanded,226452,0.4660890246255843
Maharashtra,Ahmadnagar,226423,0.46602933611890673
Maharashtra,Amravati,225451,0.46402874203302513
Karnataka,Bengaluru,216421,0.4454429759882606
Gujarat,Surat,207376,0.4268263365779731
Maharashtra,Aurangabad,204831,0.42158815556092705
Andhra Pradesh,East Godavari,204117,0.42011858336203867
Andhra Pradesh,Guntur,202271,0.41631910117835813
Maharashtra,Yavatmal,200996,0.4136948651089147
Uttar Pradesh,Sitapur,195014,0.4013825669383962
Uttar Pradesh,Allahabad,190172,0.39141664454761543
Maharashtra,Kolhapur,189195,0.38940575933989285
Maharashtra,Latur,179604,0.3696653294245732
Delhi,South Delhi,179140,0.3687103133177325
Maharashtra,Beed,178611,0.3676215126269595
